id;codigo_postal;poblacion;provincia_id
1 ;01000;Vitoria-gasteiz;1
2 ;01001;Vitoria-gasteiz;1
3 ;01002;Vitoria-gasteiz;1
4 ;01003;Vitoria-gasteiz;1
5 ;01004;Vitoria-gasteiz;1
6 ;01005;Vitoria-gasteiz;1
7 ;01006;Vitoria-gasteiz;1
8 ;01007;Armentia;1
9 ;01007;Vitoria-gasteiz;1
10 ;01008;Vitoria-gasteiz;1
11 ;01009;Vitoria-gasteiz;1
12 ;01010;Ali;1
13 ;01010;Ehari;1
14 ;01010;Vitoria-gasteiz;1
15 ;01012;Vitoria-gasteiz;1
16 ;01013;Abetxuko;1
17 ;01013;Arriaga;1
18 ;01013;BetoÑo;1
19 ;01013;Gamarra Mayor;1
20 ;01013;Gamarra Nagusia;1
21 ;01013;Vitoria-gasteiz;1
22 ;01015;Vitoria-gasteiz;1
23 ;01071;Vitoria-gasteiz;1
24 ;01080;Vitoria-gasteiz;1
25 ;01100;Centro Militar Araka;1
26 ;01110;Campezo;1
27 ;01110;Kanpezu;1
28 ;01110;Santa Cruz De Campezo;1
29 ;01110;Santikurutze Kanpezu;1
30 ;01117;Alda;1
31 ;01117;Done Bikendi Harana;1
32 ;01117;Harana;1
33 ;01117;Kontrasta;1
34 ;01117;Orbiso;1
35 ;01117;Oteo;1
36 ;01117;San Vicente De Arana;1
37 ;01117;Ullibarri-arana;1
38 ;01117;Uribarri Harana;1
39 ;01117;Valle De Arana;1
40 ;01118;Angostina;1
41 ;01118;Bajauri;1
42 ;01118;Bernedo;1
43 ;01118;Lagran;1
44 ;01118;Navarrete;1
45 ;01118;Obecuri;1
46 ;01118;Urturi;1
47 ;01118;Villafria;1
48 ;01118;Villaverde;1
49 ;01120;Arraia-maeztu;1
50 ;01120;Maeztu/maestu;1
51 ;01128;AntoÑana;1
52 ;01128;Atauri;1
53 ;01128;Azazeta;1
54 ;01128;Berrozi;1
55 ;01128;Bujanda;1
56 ;01128;Durruma Kanpezu;1
57 ;01128;Kintana;1
58 ;01128;San Roman De Campezo;1
59 ;01129;Aletxa;1
60 ;01129;Apellaniz;1
61 ;01129;Apinaiz;1
62 ;01129;Areatza;1
63 ;01129;Arenaza;1
64 ;01129;Birgara Barren;1
65 ;01129;Birgara Goien;1
66 ;01129;Cicujano;1
67 ;01129;Elortza;1
68 ;01129;Erroeta;1
69 ;01129;Erroitegi;1
70 ;01129;Ibisate;1
71 ;01129;Korres;1
72 ;01129;Leorza;1
73 ;01129;Musitu;1
74 ;01129;Onraita;1
75 ;01129;Roitegui;1
76 ;01129;Sabando;1
77 ;01129;Virgala Mayor;1
78 ;01129;Virgala Menor;1
79 ;01129;Zekuiano;1
80 ;01130;Murgia;1
81 ;01130;Zuia;1
82 ;01138;Acosta;1
83 ;01138;Apodaka;1
84 ;01138;Berrikano;1
85 ;01138;Buruaga;1
86 ;01138;Eribe;1
87 ;01138;Etxaguen (zigoitia);1
88 ;01138;Gopegi;1
89 ;01138;Larrinoa;1
90 ;01138;Letona;1
91 ;01138;Manurga;1
92 ;01138;Murua;1
93 ;01138;Okoizta;1
94 ;01138;Olano;1
95 ;01138;Ondategi;1
96 ;01138;Zaitegi;1
97 ;01138;Zestafe;1
98 ;01138;Zigoitia;1
99 ;01139;Altube;1
100 ;01139;Ametzaga (zuia);1
101 ;01139;Aperregi;1
102 ;01139;Aretxaga;1
103 ;01139;Bitoriano;1
104 ;01139;Domaikia;1
105 ;01139;Gilierna;1
106 ;01139;Guillerna;1
107 ;01139;Jugo;1
108 ;01139;Lukiano;1
109 ;01139;Markina;1
110 ;01139;Sarria;1
111 ;01139;Zarate;1
112 ;01160;Ibarra;1
113 ;01165;Oleta;1
114 ;01169;Aramaio;1
115 ;01169;Arexola;1
116 ;01169;Arriola (aramaio);1
117 ;01169;Azkoaga;1
118 ;01169;Barajuen;1
119 ;01169;Etxaguen (aramaio);1
120 ;01169;Gantzaga;1
121 ;01169;Untzilla;1
122 ;01169;Uribarri;1
123 ;01170;Elosu;1
124 ;01170;Goiain;1
125 ;01170;Legutio;1
126 ;01170;Nafarrate;1
127 ;01170;Ollerias/ollerieta;1
128 ;01170;Urrunaga;1
129 ;01191;Astegieta;1
130 ;01191;Estarrona;1
131 ;01191;Gobeo;1
132 ;01191;Hueto Abajo;1
133 ;01191;Hueto Arriba;1
134 ;01191;Martioda;1
135 ;01191;Mendoza;1
136 ;01191;Otobarren;1
137 ;01191;Otogoien;1
138 ;01191;Trasponte;1
139 ;01191;Trespuentes;1
140 ;01191;Ullibarri-viÑa;1
141 ;01191;Uribarri-dibiÑa;1
142 ;01192;Arbulu;1
143 ;01192;Argomaniz;1
144 ;01192;Arkauti / Arcaute;1
145 ;01192;AÑua;1
146 ;01192;Burgelu;1
147 ;01192;Elburgo;1
148 ;01192;Elorriaga;1
149 ;01192;Gazeta;1
150 ;01192;Ilarratza;1
151 ;01192;Jungitu;1
152 ;01192;Lubiano;1
153 ;01192;Matauko;1
154 ;01192;Oreitia;1
155 ;01192;Zerio;1
156 ;01193;Aberasturi;1
157 ;01193;Andollu;1
158 ;01193;ArgandoÑa;1
159 ;01193;Arkaia;1
160 ;01193;Askartza;1
161 ;01193;Azilu;1
162 ;01193;Egileta;1
163 ;01193;Erentxun;1
164 ;01193;Gauna;1
165 ;01193;Hijona;1
166 ;01193;Iruraiz-gauna;1
167 ;01193;Ixona;1
168 ;01193;Trokoniz;1
169 ;01193;Villafranca;1
170 ;01194;Aretxabaleta;1
171 ;01194;Berrostegieta;1
172 ;01194;Bolibar;1
173 ;01194;Castillo;1
174 ;01194;Eskibel;1
175 ;01194;Gamiz;1
176 ;01194;Gardelegi;1
177 ;01194;Gaztelu;1
178 ;01194;Izartza;1
179 ;01194;Lasarte;1
180 ;01194;Mendiola;1
181 ;01194;Monasterioguren;1
182 ;01194;Okina;1
183 ;01194;Otazu;1
184 ;01194;Ullibarri De Los Olleros;1
185 ;01194;Uribarri Nagusia;1
186 ;01195;AriÑez;1
187 ;01195;AriÑiz;1
188 ;01195;Billoda;1
189 ;01195;Crispijana;1
190 ;01195;Gometxa;1
191 ;01195;KrispiÑa;1
192 ;01195;Lermanda;1
193 ;01195;Margarita;1
194 ;01195;Subijana De Alava;1
195 ;01195;Subillana-gasteiz;1
196 ;01195;Villodas;1
197 ;01195;Zuazo De Vitoria;1
198 ;01195;Zuhatzu;1
199 ;01195;Zumeltzu;1
200 ;01196;Andetxa;1
201 ;01196;Antezana;1
202 ;01196;Arangiz;1
203 ;01196;Artatza Foronda;1
204 ;01196;Etxabarri IbiÑa;1
205 ;01196;Foronda;1
